time,h2_top,h1_bot
3.05,38711.74,8474.42
3.06,39037.12,8545.26
3.07,39367.29,8617.79
3.08,39699.76,8690.89
3.09,40044.1,8764.17
3.1,40388.34,8837.39
3.11,40727.81,8910.15
3.12,41066.09,8984.81
3.13,41400.99,9061.01
3.14,41738.12,9134.25
3.15,42075.48,9211.06
3.16,42417.48,9285.57
3.17,42759.41,9363.64
3.18,43106.88,9441.07
3.19,43451.54,9518.73
3.2,43796.78,9594.81
3.21,44148.04,9674.91
3.22,44500.49,9752.44
3.23,44865.06,9831.42
3.24,45232.72,9910.13
3.25,45599.38,9989.06
3.26,45960.76,10072.36
3.27,46318.12,10153.56
3.28,46679.98,10233.38
3.29,47041.46,10312.86
3.3,47399.76,10398.6
3.31,47767.64,10480.86
3.32,48136.99,10564.23
3.33,48507.2,10646.07
3.34,48874.73,10729.66
3.35,49242.48,10815.09
3.36,49611.61,10896.9
3.37,49984.45,10982.68
3.38,50371.43,11067.53
3.39,50762.2,11156.04
3.4,51151.01,11242.52
3.41,51537.4,11332.27
3.42,51922.25,11418.42
3.43,52307.64,11504.61
3.44,52695.5,11592.02
3.45,53077.43,11682.24
3.46,53468.25,11771.83
3.47,53863.21,11860.44
3.48,54257.93,11952.46
3.49,54653.47,12040.45
3.5,55050.34,12132.58
3.51,55438.96,12224.93
3.52,55837.56,12314.51
3.53,56232.82,12406.68
3.54,56646.83,12500.66
3.55,57057.12,12592.1
3.56,57472.75,12687.1
3.57,57882.74,12781.63
3.58,58292.77,12875.81
3.59,58703.28,12970.32
3.6,59117.13,13065.58
3.61,59525.71,13161.75
3.62,59936.68,13257.08
3.63,60360.89,13353.1
3.64,60783.68,13451.49
3.65,61203.52,13547.36
3.66,61622.77,13645.78
3.67,62042.43,13744.6
3.68,62458.43,13841.69
3.69,62875.64,13940.96
3.7,63304.88,14039.36
3.71,63742.37,14140.14
3.72,64176.06,14242.95
3.73,64610.41,14343.99
3.74,65048.73,14443.6
3.75,65483.03,14545.76
3.76,65922.8,14648.13
3.77,66362.2,14752.32
3.78,66796.81,14852.8
3.79,67234.86,14956.25
3.8,67684.71,15060.41
3.81,68134.3,15164.52
3.82,68585.76,15271.05
3.83,69036.17,15376.06
3.84,69481.48,15479.19
3.85,69923.76,15587.89
3.86,70364.59,15694.92
3.87,70808.82,15800.74
3.88,71275.59,15909.77
3.89,71735.38,16018.59
3.9,72191.27,16125.97
3.91,72647.27,16235.06
3.92,73105.9,16342.82
3.93,73567.77,16455.84
3.94,74034.29,16563.81
3.95,74500.63,16673.48
3.96,74965.12,16784.08
3.97,75426.3,16893.89
3.98,75902.13,17007.94
3.99,76384.18,17119.8
4,76866.62,17232.4
4.01,77346.97,17344.17
4.02,77819.8,17461.34
4.03,78292.61,17572.61
4.04,78764.8,17686.79
4.05,79229.43,17802.24
4.06,79711.98,17920.09
4.07,80203.03,18034.83
4.08,80689.93,18148.02
4.09,81174.16,18265.34
4.1,81653.55,18384.82
4.11,82135.39,18500.9
4.12,82621.48,18618.51
4.13,83112.47,18735.71
4.14,83601.16,18854.76
4.15,84091.58,18973.14
4.16,84581.45,19094.24
4.17,85076.02,19213.23
4.18,85588.69,19332.65
4.19,86097.18,19454.11
4.2,86606.96,19577.82
4.21,87112.43,19695.94
4.22,87618.48,19819.52
4.23,88119.28,19940.77
4.24,88613.85,20068.14
4.25,89110.53,20192.89
4.26,89628.89,20315.52
4.27,90145.8,20437.56
4.28,90660.05,20562.06
4.29,91173.42,20688.11
4.3,91683.57,20813.87
4.31,92196.93,20940.28
4.32,92712.91,21066.78
4.33,93226.19,21192.09
4.34,93739.16,21320.23
4.35,94252.07,21447
4.36,94763.25,21576.04
4.37,95278.06,21703.48
4.38,95799.21,21831.24
4.39,96335.26,21960.88
4.4,96869.93,22092.07
4.41,97404.95,22222.11
4.42,97936.86,22350.46
4.43,98466.33,22486.17
4.44,98995.33,22619.64
4.45,99521.68,22749.1
4.46,100046.79,22882.49
4.47,100602.73,23011.1
4.48,101140.5,23148.36
4.49,101682.28,23281.98
4.5,102227.9,23415.8
4.51,102771.1,23547.3
4.52,103316.44,23683.06
4.53,103863.88,23819.75
4.54,104412.08,23955.48
4.55,104953.92,24091.84
4.56,105494.45,24228.02
4.57,106035.32,24365.16
4.58,106578.1,24501.52
4.59,107124.55,24640.69
4.6,107669.23,24778.23
4.61,108223.87,24916.48
4.62,108785.62,25057.61
4.63,109338.38,25196.29
4.64,109891.78,25338.67
4.65,110440.31,25480.35
4.66,110992.48,25618.94
4.67,111539.22,25762.01
4.68,112087.3,25901.64
4.69,112657.12,26046.72
4.7,113226.23,26190.64
4.71,113787.54,26331.98
4.72,114345.73,26474.35
4.73,114907.65,26616.39
4.74,115479.4,26761.81
4.75,116052.8,26907.09
4.76,116630.11,27052.02
4.77,117202.33,27197.52
4.78,117774.05,27341.88
4.79,118345.68,27486.27
4.8,118919.19,27638.2
4.81,119491.04,27784.23
4.82,120059.52,27931.89
4.83,120625.79,28077.84
4.84,121190.45,28227.69
4.85,121773.56,28381.61
