tempo,q
4.9,0.01429974
4.91,0.01426046
4.92,0.0142213
4.93,0.01418228
4.94,0.0141434
4.95,0.01410462
4.96,0.01406592
4.97,0.01402732
4.98,0.01398886
4.99,0.01395058
5,0.01391246
5.01,0.01387452
5.02,0.01383676
5.03,0.0137991
5.04,0.0137615
5.05,0.0137239
5.06,0.01368646
5.07,0.01364924
5.08,0.01361224
5.09,0.0135755
5.1,0.01353896
5.11,0.01350262
5.12,0.01346644
5.13,0.0134304
5.14,0.01339428
5.15,0.01335816
5.16,0.01332224
5.17,0.01328654
5.18,0.01325108
5.19,0.01321588
5.2,0.01318094
5.21,0.01314622
5.22,0.01311174
5.23,0.01307746
5.24,0.01304338
5.25,0.01300944
5.26,0.01297566
5.27,0.01294202
5.28,0.01290846
5.29,0.01287452
5.3,0.01284058
5.31,0.01280692
5.32,0.01277356
5.33,0.01274046
5.34,0.01270762
5.35,0.01267498
5.36,0.01264254
5.37,0.01261028
5.38,0.0125782
5.39,0.01254628
5.4,0.01251452
5.41,0.01248292
5.42,0.01245144
5.43,0.01242008
5.44,0.01238882
5.45,0.01235758
5.46,0.01232634
5.47,0.0122952
5.48,0.0122642
5.49,0.01223336
5.5,0.01220266
5.51,0.01217214
5.52,0.01214176
5.53,0.01211156
5.54,0.01208152
5.55,0.01205164
5.56,0.01202192
5.57,0.01199178
5.58,0.01196232
5.59,0.01193304
5.6,0.0119038
5.61,0.01187382
5.62,0.01184418
5.63,0.011815
5.64,0.01178608
5.65,0.01175734
5.66,0.01172872
5.67,0.01170002
5.68,0.01167128
5.69,0.0116426
5.7,0.01161412
5.71,0.01158584
5.72,0.0115578
5.73,0.01153
5.74,0.0115024
5.75,0.011475
5.76,0.01144774
5.77,0.01142066
5.78,0.0113937
5.79,0.0113669
5.8,0.01134022
5.81,0.01131366
5.82,0.0112872
5.83,0.01126084
5.84,0.01123456
5.85,0.01120838
5.86,0.01118224
5.87,0.01115614
5.88,0.01113008
5.89,0.01110408
5.9,0.01107814
5.91,0.01105228
5.92,0.0110265
5.93,0.01100082
5.94,0.01097516
5.95,0.0109495
5.96,0.0109239
5.97,0.0108984
5.98,0.01087304
5.99,0.01084784
6,0.01082278
6.01,0.01079784
6.02,0.01077302
6.03,0.01074832
6.04,0.01072376
6.05,0.01069932
6.06,0.01067468
6.07,0.01064996
6.08,0.01062548
6.09,0.01060124
6.1,0.01057722
6.11,0.01055336
6.12,0.01052966
6.13,0.01050606
6.14,0.01048254
6.15,0.01045906
6.16,0.0104356
6.17,0.01041222
6.18,0.01038892
6.19,0.0103657
6.2,0.0103426
6.21,0.01031958
6.22,0.01029666
6.23,0.01027382
6.24,0.01025108
6.25,0.01022842
6.26,0.01020586
6.27,0.01018336
6.28,0.01016096
6.29,0.01013862
